action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,61934,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)O[C@H]1N(C(=O)NCc2ccccc2)C(=O)C1(C)C,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,,CHEMBL123457,,CHEMBL123457,,0,http://www.openphacts.org/units/Nanomolar,232615,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,100.0
,,61935,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)O[C@@H]1[C@H](C)C(=O)N1C(=O)Nc1ccccc1,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,,CHEMBL123455,,CHEMBL123455,,0,http://www.openphacts.org/units/Nanomolar,232617,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,100.0
,,64581,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(O)c1ccc(O[C@@H]2CC(=O)N2C(=O)NCc2ccccc2)cc1,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,,CHEMBL332366,,CHEMBL332366,,0,http://www.openphacts.org/units/Nanomolar,232625,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,100.0
,,69662,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)O[C@@H]1CC(=O)N1C(=O)NCc1ccccc1,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,"{'bei': '16.69', 'le': '0.31', 'lle': '3.36', 'sei': '5.78'}",CHEMBL331210,,CHEMBL331210,4.38,0,http://www.openphacts.org/units/Nanomolar,232630,=,1,1,=,,IC50,nM,,42000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,42.0
,,69665,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,"{'bei': '13.26', 'le': '0.25', 'lle': '2.22', 'sei': '4.90'}",CHEMBL122575,,CHEMBL122575,4.70,0,http://www.openphacts.org/units/Nanomolar,232623,=,1,1,=,,IC50,nM,,20000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,20.0
,,69671,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@H]1C(=O)N(C(=O)NCc2ccccc2)[C@@H]1Oc1ccc(C(=O)O)cc1,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,"{'bei': '11.68', 'le': '0.22', 'lle': '1.43', 'sei': '4.48'}",CHEMBL305708,,CHEMBL305708,4.30,0,http://www.openphacts.org/units/Nanomolar,232621,=,1,1,=,,IC50,nM,,50000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,50.0
,,70989,[],CHEMBL884029,Concentration required to inhibit the mutant alpha-Ala HCMV protease by 50% was determined,B,,,BAO_0000190,BAO_0000357,single protein format,CCNC(=O)N1C(=O)C[C@H]1OC(C)=O,,,CHEMBL1130748,Bioorg Med Chem Lett,1998,,CHEMBL122963,,CHEMBL122963,,0,http://www.openphacts.org/units/Nanomolar,232613,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,100.0
,,105427,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1[C@H](C)[C@@H]1C(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1cccc2c(N(C)C)cccc12,,,CHEMBL1135165,Bioorg Med Chem Lett,2002,"{'bei': '9.34', 'le': '0.18', 'lle': '2.35', 'sei': '5.38'}",CHEMBL49877,,CHEMBL49877,5.29,0,http://www.openphacts.org/units/Nanomolar,78996,=,1,1,=,,IC50,nM,,5100.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,5.1
,,106582,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C(=O)N(C(=O)C2CC2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,,,CHEMBL1135165,Bioorg Med Chem Lett,2002,"{'bei': '14.74', 'le': '0.28', 'lle': '2.87', 'sei': '7.54'}",CHEMBL446658,,CHEMBL446658,5.05,0,http://www.openphacts.org/units/Nanomolar,79008,=,1,1,=,,IC50,nM,,9000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,9.0
,,107748,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12,,,CHEMBL1135165,Bioorg Med Chem Lett,2002,"{'bei': '8.58', 'le': '0.16', 'lle': '1.76', 'sei': '4.69'}",CHEMBL431337,,CHEMBL431337,5.18,0,http://www.openphacts.org/units/Nanomolar,78993,=,1,1,=,,IC50,nM,,6600.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,6.6
,,110150,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1cccc2c(N(C)C)cccc12,,,CHEMBL1135165,Bioorg Med Chem Lett,2002,"{'bei': '8.83', 'le': '0.17', 'lle': '2.81', 'sei': '4.22'}",CHEMBL48421,,CHEMBL48421,4.66,0,http://www.openphacts.org/units/Nanomolar,78994,=,1,1,=,,IC50,nM,,22000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,22.0
,,111612,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)N1C(=O)C(C)(C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1135165,Bioorg Med Chem Lett,2002,,CHEMBL47226,,CHEMBL47226,,0,http://www.openphacts.org/units/Nanomolar,78989,>,1,1,>,,IC50,nM,,500000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,500.0
,,111614,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,COP(=O)(OC)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1135165,Bioorg Med Chem Lett,2002,,CHEMBL48562,,CHEMBL48562,,0,http://www.openphacts.org/units/Nanomolar,78990,>,1,1,>,,IC50,nM,,500000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,500.0
,,113039,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C(=O)N(C(=O)NCc2ccccc2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1135165,Bioorg Med Chem Lett,2002,,CHEMBL46944,,CHEMBL46944,,0,http://www.openphacts.org/units/Nanomolar,79001,=,1,1,=,,IC50,nM,,250000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,250.0
,,114340,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C(=O)N(C(=O)C2C(C)(C)C2(C)C)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1135165,Bioorg Med Chem Lett,2002,,CHEMBL296301,,CHEMBL296301,,0,http://www.openphacts.org/units/Nanomolar,79003,>,1,1,>,,IC50,nM,,500000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,500.0
,,114342,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C(=O)N(c2nccs2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1135165,Bioorg Med Chem Lett,2002,,CHEMBL49731,,CHEMBL49731,,0,http://www.openphacts.org/units/Nanomolar,78999,~,1,1,~,,IC50,nM,,500000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,500.0
,,115470,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C(=O)N(C(=O)C2C(C)(C)C2(C)C)[C@H]2CCN(C(=O)[C@@H]3CCCN3S(=O)(=O)c3cccc4c(N(C)C)cccc34)[C@H]12,,,CHEMBL1135165,Bioorg Med Chem Lett,2002,,CHEMBL47429,,CHEMBL47429,,0,http://www.openphacts.org/units/Nanomolar,78995,>,1,1,>,,IC50,nM,,100000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,100.0
,,119313,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C(=O)N(c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1135165,Bioorg Med Chem Lett,2002,,CHEMBL50373,,CHEMBL50373,,0,http://www.openphacts.org/units/Nanomolar,79005,~,1,1,~,,IC50,nM,,500000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,500.0
,,120546,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1[C@H](C)[C@@H]1C(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,,,CHEMBL1135165,Bioorg Med Chem Lett,2002,"{'bei': '11.18', 'le': '0.21', 'lle': '1.47', 'sei': '6.19'}",CHEMBL297341,,CHEMBL297341,4.14,0,http://www.openphacts.org/units/Nanomolar,79004,=,1,1,=,,IC50,nM,,72000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,72.0
,,121731,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C(=O)N(C(=O)C(C)(C)C)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1135165,Bioorg Med Chem Lett,2002,,CHEMBL298789,,CHEMBL298789,,0,http://www.openphacts.org/units/Nanomolar,79007,>,1,1,>,,IC50,nM,,500000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,500.0
,,122963,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,CNC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1135165,Bioorg Med Chem Lett,2002,,CHEMBL300091,,CHEMBL300091,,0,http://www.openphacts.org/units/Nanomolar,79006,>,1,1,>,,IC50,nM,,500000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,500.0
,,124195,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,,,CHEMBL1135165,Bioorg Med Chem Lett,2002,"{'bei': '13.90', 'le': '0.26', 'lle': '2.61', 'sei': '6.57'}",CHEMBL45899,,CHEMBL45899,4.40,0,http://www.openphacts.org/units/Nanomolar,79011,=,1,1,=,,IC50,nM,,40000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,40.0
,,124197,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1135165,Bioorg Med Chem Lett,2002,,CHEMBL298170,,CHEMBL298170,,0,http://www.openphacts.org/units/Nanomolar,79010,=,1,1,=,,IC50,nM,,148000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,148.0
,,125561,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC1CC1C(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)OCc1ccccc1,,,CHEMBL1135165,Bioorg Med Chem Lett,2002,"{'bei': '13.46', 'le': '0.25', 'lle': '2.37', 'sei': '7.17'}",CHEMBL301787,,CHEMBL301787,4.80,0,http://www.openphacts.org/units/Nanomolar,78991,=,1,1,=,,IC50,nM,,16000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,16.0
,,129391,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,CC1CC1C(=O)N1C(=O)[C@@H](C)[C@@H]2[C@@H]1CCN2C(=O)[C@@H]1CCCN1S(=O)(=O)c1cccc2c(N(C)C)cccc12,,,CHEMBL1135165,Bioorg Med Chem Lett,2002,"{'bei': '10.59', 'le': '0.20', 'lle': '3.16', 'sei': '5.95'}",CHEMBL295394,,CHEMBL295394,5.85,0,http://www.openphacts.org/units/Nanomolar,78997,=,1,1,=,,IC50,nM,,1400.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,1.4
,,133263,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1135165,Bioorg Med Chem Lett,2002,,CHEMBL431158,,CHEMBL431158,,0,http://www.openphacts.org/units/Nanomolar,79009,~,1,1,~,,IC50,nM,,500000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,500.0
,,138132,[],CHEMBL763744,Tested in vitro for inhibitory activity against Protease,B,,,BAO_0000190,BAO_0000357,single protein format,C[C@@H]1C(=O)N(c2ccc([N+](=O)[O-])cc2)[C@H]2CCN(C(=O)OCc3ccccc3)[C@H]12,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1135165,Bioorg Med Chem Lett,2002,,CHEMBL49788,,CHEMBL49788,,0,http://www.openphacts.org/units/Nanomolar,79000,~,1,1,~,,IC50,nM,,500000.0,CHEMBL3771,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),Human herpes virus 5 capsid protein P40,10360,,,IC50,uM,UO_0000065,,500.0
